,0
0,83776.35401008092
1,69764.49369523954
2,221332.12339645624
3,99192.70053958148
4,113714.2163026426
5,59140.63751981966
6,145908.21162130684
7,210248.71449984796
8,251112.24884594698
9,278267.5282616941
10,150998.42943416815
11,135313.71173395216
12,107797.69034327287
13,264364.38544347696
14,192661.4948368119
15,56051.73910541553
16,151169.0168399373
17,115034.57318727206
18,207695.76342255808
19,88864.22382163536
20,101694.45942130592
21,94763.41326415539
22,258083.80509578343
23,40284.48454210162
24,136390.98991362285
25,64274.22513559554
26,249292.04840031918
27,82932.74127503298
28,151816.81692835782
29,175843.65373076592
30,185172.05888439994
31,61279.823339493945
32,79510.58471316937
33,130925.09035215713
34,74003.4964691801
35,39267.45492818393
36,180131.2413258897
37,419894.17071063444
38,49038.91874916386
39,115063.08933939599
40,137536.01876204181
41,181138.40657518152
42,51770.4965997152
43,82652.39071784262
44,168345.12762706354
45,397238.4324412178
46,55548.849098661914
47,67921.90933256317
48,150691.19298892934
49,106502.60365950596
50,82038.4927780265
51,95817.01629170123
52,73632.43940506689
53,213008.66435688175
54,116166.30920574814
55,137087.85829205625
56,215347.23482873756
57,156303.04128186125
58,75024.4472911777
59,123272.15129224677
60,73525.07840375416
61,83748.40977656469
62,107494.94630646054
63,47217.923052445985
64,124740.05736319534
65,41488.309698089026
66,89806.35055255424
67,79047.63958047144
68,165363.17887088098
69,417756.9864415517
70,88240.89525176026
71,174189.4742021365
72,139919.70283562317
73,135466.27230929118
74,60765.10767517239
75,138907.7499535065
76,92674.39370850101
77,75007.58462252095
78,117288.78121531382
79,65745.70486425236
80,105631.96955435257
81,58078.860050108284
82,266773.0296251774
83,162490.1077021286
84,124565.21376427822
85,109612.44243528973
86,253082.58817138616
87,274243.95866528247
88,95602.49435513746
89,76872.5363564929
90,134499.25713159796
91,109397.96433176752
92,89188.70789535902
93,101546.09962086566
94,78281.26041824836
95,115241.96785036195
96,146956.40468968358
97,146825.16143397614
98,82021.91358805913
99,64546.68367911689
100,87832.60484473314
101,137692.44436634146
102,120084.32062581182
103,70752.04426844697
104,36941.406680740416
105,43987.330212753266
106,122809.57332245447
107,162814.67073022109
108,61130.68533538375
109,78671.28707774635
110,103917.74035516195
111,190584.48025546223
112,32920.75222232472
113,86220.31588001363
114,274685.96697102115
115,126885.19512461685
116,95494.87708360609
117,207715.37908198964
118,97333.05619563814
119,380631.7106340155
120,101079.59257489443
121,127840.3902410008
122,87768.71932028793
123,131502.32800103258
124,124139.08082677796
125,91812.5776009718
126,102779.9627728751
127,130233.0782760391
128,70202.02371664904
129,138395.07009249646
130,375639.7580442522
131,321501.8423732538
132,90579.50989076309
133,158868.64247981925
134,130241.68023544364
135,136113.0694664633
136,274661.5943204751
137,226912.39694101922
138,88416.48060697597
139,302331.38932166435
140,67766.03190949373
141,136381.49075298943
142,133065.71740897
143,111054.83312339336
144,84742.5161191076
145,144656.10363536328
146,83277.06484180503
147,290376.29785466474
148,64475.0023047775
149,162052.45105673186
150,274521.35300113447
151,152527.16080823354
152,61644.62494761404
153,157390.41522470303
154,106780.66276422981
155,110104.93140948936
156,81717.4400878502
157,124799.71086250711
158,65219.07210880425
159,110978.80324825272
160,243209.27083821315
161,77563.22521838918
162,395589.8272238141
163,146608.75054318272
164,41440.604614499025
165,104187.25655754562
166,108435.80422773864
167,48513.742355865426
168,136524.35040131677
